Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Nora Cornolle,1,36,51,70%,60,83,0,0,---,0,1,30,17,28,13,17,6,6,19,29,15,20,2,2,W
Erin Blanchfield,0,130,386,33%,135,394,0,3,0%,1,0,48,80,318,25,40,25,28,124,371,6,15,0,0,L
Manon Fiorot,0,172,359,47%,181,369,1,4,25%,0,0,53,143,321,18,25,11,13,167,346,5,13,0,0,W
Vicente Luque,0,21,63,33%,22,65,0,3,0%,0,0,9,7,45,4,5,10,13,21,63,0,0,0,0,L
Joaquin Buckley,0,55,131,41%,63,142,0,0,---,0,0,49,42,112,6,10,7,9,21,75,0,0,34,56,W
Chris Weidman,1,75,111,67%,88,129,1,4,25%,0,0,195,44,74,14,19,17,18,56,88,5,7,14,16,W
Bruno Silva,0,30,88,34%,30,88,0,0,---,0,0,0,28,81,2,4,0,3,29,86,1,1,0,1,L
Nursulton Ruziboev,1,12,32,37%,12,32,0,0,---,0,0,4,11,30,1,2,0,0,11,25,0,0,1,7,W
Sedriques Dumas,0,1,16,6%,1,16,0,0,---,0,0,0,1,13,0,2,0,1,1,16,0,0,0,0,L
Bill Algeo,0,30,58,51%,44,73,0,0,---,0,0,0,11,34,11,11,8,13,30,55,0,3,0,0,L
Kyle Nelson,0,32,59,54%,40,68,0,0,---,0,0,48,20,45,6,8,6,6,28,52,4,6,0,1,W
Chidi Njokuani,0,64,98,65%,96,139,0,2,0%,0,0,53,17,40,18,25,29,33,46,75,18,23,0,0,W
Rhys McKee,0,30,93,32%,40,105,0,7,0%,0,0,401,21,80,5,8,4,5,28,90,2,3,0,0,L
Nate Landwehr,1,37,76,48%,37,76,0,0,---,0,0,5,34,70,3,5,0,1,24,62,9,10,4,4,W
Jamall Emmers,0,39,78,50%,39,78,0,0,---,0,0,1,24,59,13,17,2,2,36,74,3,4,0,0,L
Virna Jandiroba,0,30,108,27%,86,180,2,9,22%,3,1,395,27,100,3,8,0,0,30,106,0,2,0,0,W
Loopy Godinez,0,38,95,40%,50,116,0,0,---,0,1,112,25,79,11,14,2,2,30,82,7,11,1,2,L
Julio Arce,2,29,79,36%,29,79,0,1,0%,0,0,8,19,65,9,12,1,2,20,68,9,11,0,0,W
