Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Frankie Saenz,1,66,120,55%,84,138,4,10,40%,0,0,250,36,81,18,22,12,17,40,84,16,19,10,17,W
Claudio Puelles,0,16,49,32%,16,49,2,7,28%,1,0,88,11,41,3,6,2,2,12,44,0,0,4,5,W
Felipe Silva,1,70,130,53%,103,171,1,1,100%,0,0,172,48,101,12,17,10,12,30,75,4,6,36,49,L
Amanda Nunes,0,124,254,48%,152,288,3,4,75%,0,0,269,72,171,31,46,21,37,96,219,15,19,13,16,W
Raquel Pennington,0,64,169,37%,79,186,1,8,12%,0,0,133,49,148,10,15,5,6,56,160,7,8,1,1,L
Jacare Souza,0,64,115,55%,78,129,1,9,11%,1,1,208,42,84,21,30,1,1,42,90,8,11,14,14,L
Kelvin Gastelum,1,53,145,36%,57,149,0,0,---,0,0,35,44,133,7,10,2,2,41,125,9,10,3,10,W
Mackenzie Dern,1,15,32,46%,16,33,0,0,---,1,0,9,14,30,1,2,0,0,9,24,0,0,6,8,W
Amanda Cooper,0,6,25,24%,6,25,0,0,---,0,0,0,5,24,0,0,1,1,6,25,0,0,0,0,L
John Lineker,2,102,233,43%,113,244,0,0,---,1,0,67,65,173,31,49,6,11,89,211,7,12,6,10,W
Brian Kelleher,0,50,137,36%,58,147,1,6,16%,0,0,43,41,112,6,19,3,6,46,132,3,4,1,1,L
Vitor Belfort,0,2,12,16%,2,12,0,0,---,0,0,0,2,11,0,1,0,0,2,12,0,0,0,0,L
Lyoto Machida,1,11,22,50%,11,22,0,0,---,0,0,0,2,8,7,11,2,3,11,22,0,0,0,0,W
Cezar Ferreira,0,5,6,83%,14,16,2,3,66%,1,0,260,4,5,1,1,0,0,1,1,0,0,4,5,W
Karl Roberson,0,4,6,66%,20,26,0,0,---,0,0,0,3,5,0,0,1,1,1,3,2,2,1,1,L
Aleksei Oleinik,0,10,17,58%,10,17,0,3,0%,1,0,15,6,12,2,3,2,2,10,17,0,0,0,0,W
Junior Albini,0,10,15,66%,10,15,1,1,100%,0,0,12,7,11,2,3,1,1,9,13,1,2,0,0,L
Davi Ramos,0,6,12,50%,13,21,1,1,100%,1,0,130,5,9,1,3,0,0,5,11,0,0,1,1,W
Nick Hein,0,1,6,16%,1,6,0,0,---,0,0,7,1,6,0,0,0,0,1,6,0,0,0,0,L
Elizeu Zaleski dos Santos,1,15,58,25%,18,63,0,1,0%,0,0,6,9,41,2,8,4,9,9,45,0,0,6,13,W
Sean Strickland,0,14,36,38%,14,36,0,0,---,0,0,0,13,35,0,0,1,1,13,35,1,1,0,0,L
Warlley Alves,0,29,50,58%,54,78,0,1,0%,0,0,204,7,20,12,19,10,11,10,28,19,22,0,0,W
Sultan Aliev,0,12,28,42%,14,30,1,3,33%,0,0,127,10,24,2,4,0,0,7,21,5,7,0,0,L
Thales Leites,0,11,17,64%,20,27,3,9,33%,3,0,461,5,11,1,1,5,5,6,9,1,1,4,7,L
Jack Hermansson,0,35,56,62%,49,71,3,3,100%,1,0,126,25,43,4,6,6,7,14,30,2,2,19,24,W
Alberto Mina,0,12,82,14%,16,87,1,5,20%,0,0,5,5,65,3,11,4,6,11,79,1,2,0,1,L
Ramazan Emeev,0,39,84,46%,54,100,3,6,50%,0,0,306,28,67,8,14,3,3,24,57,4,9,11,18,W
Markus Perez,0,4,4,100%,13,16,1,1,100%,2,0,197,3,3,1,1,0,0,0,0,1,1,3,3,W
James Bochnovic,0,3,6,50%,4,8,0,1,0%,0,0,59,1,3,2,3,0,0,1,3,1,2,1,1,L
Edson Barboza,0,51,106,48%,64,119,0,1,0%,0,0,10,26,73,20,26,5,7,47,102,2,2,2,2,L
Kevin Lee,0,142,241,58%,233,344,4,9,44%,0,0,901,138,236,3,4,1,1,46,122,0,0,96,119,W
Frankie Edgar,0,58,136,42%,60,139,0,8,0%,0,0,51,33,106,6,10,19,20,52,126,6,10,0,0,W
Cub Swanson,0,48,130,36%,50,132,0,0,---,0,0,0,32,110,11,15,5,5,42,122,6,8,0,0,L
Justin Willis,1,76,109,69%,118,153,1,2,50%,0,0,180,68,101,8,8,0,0,53,82,6,7,17,20,W
Chase Sherman,0,69,137,50%,112,180,0,0,---,0,0,122,34,90,24,33,11,14,53,120,15,16,1,1,L
David Branch,1,5,15,33%,5,15,0,1,0%,0,0,2,5,14,0,1,0,0,1,11,0,0,4,4,W
Thiago Santos,0,14,29,48%,14,29,0,0,---,0,0,0,4,17,2,3,8,9,14,29,0,0,0,0,L
Aljamain Sterling,0,89,152,58%,117,181,3,9,33%,0,1,82,40,88,37,51,12,13,53,103,26,32,10,17,W
Brett Johns,0,27,89,30%,56,119,1,5,20%,0,0,391,23,79,4,8,0,2,17,76,10,13,0,0,L
Jim Miller,0,10,20,50%,13,23,1,2,50%,0,0,27,6,16,2,2,2,2,8,17,2,3,0,0,L
Dan Hooker,1,24,44,54%,24,44,0,0,---,0,0,13,15,33,4,4,5,7,23,43,0,0,1,1,W
Ryan LaFlare,0,24,48,50%,47,71,1,6,16%,0,1,268,5,27,17,19,2,2,17,38,3,6,4,4,W
Alex Garcia,0,11,54,20%,21,66,5,7,71%,0,0,246,6,46,4,7,1,1,7,46,3,7,1,1,L
Merab Dvalishvili,1,61,210,29%,82,233,6,22,27%,0,0,162,42,185,8,12,11,13,56,194,5,15,0,1,L
Ricky Simon,0,34,103,33%,38,108,2,7,28%,1,1,166,25,91,6,9,3,3,28,95,5,7,1,1,W
Siyar Bahadurzada,1,33,64,51%,61,94,1,1,100%,0,0,100,20,51,9,9,4,4,24,52,2,3,7,9,W
Luan Chagas,0,11,37,29%,31,58,0,1,0%,0,1,154,7,26,1,6,3,5,9,34,1,1,1,2,L
Corey Anderson,0,64,119,53%,99,162,12,13,92%,0,0,482,56,107,6,10,2,2,38,85,16,22,10,12,W
Patrick Cummins,0,31,99,31%,44,113,0,1,0%,0,0,30,24,85,6,12,1,2,18,79,12,19,1,1,L
Anthony Rocco Martin,0,56,133,42%,65,142,0,0,---,2,1,32,48,124,5,6,3,3,49,121,4,9,3,3,W
Keita Nakamura,0,24,83,28%,26,85,2,5,40%,0,0,98,16,70,6,9,2,4,23,82,1,1,0,0,L
Dustin Poirier,0,174,351,49%,179,357,0,5,0%,0,0,6,142,314,21,26,11,11,162,338,12,13,0,0,W
Justin Gaethje,0,115,212,54%,116,213,0,0,---,0,0,64,56,143,9,12,50,57,98,194,17,18,0,0,L
Carlos Condit,0,12,18,66%,42,49,1,1,100%,1,1,171,6,12,2,2,4,4,6,11,0,0,6,7,L
Alex Oliveira,0,9,23,39%,22,37,3,3,100%,1,0,224,8,22,1,1,0,0,1,8,0,0,8,15,W
Israel Adesanya,0,57,123,46%,67,134,0,1,0%,0,0,0,31,92,11,12,15,19,57,123,0,0,0,0,W
Marvin Vettori,0,46,154,29%,60,169,2,6,33%,0,0,198,20,122,7,8,19,24,44,152,2,2,0,0,L
Michelle Waterson-Gomez,0,61,84,72%,77,103,3,4,75%,0,0,363,30,49,13,15,18,20,41,61,6,7,14,16,W
Cortney Casey,0,36,96,37%,64,126,0,1,0%,3,0,102,22,79,7,8,7,9,22,82,9,9,5,5,L
Tim Boetsch,0,7,18,38%,13,24,0,0,---,0,0,5,4,14,1,2,2,2,7,18,0,0,0,0,L
Antonio Carlos Junior,0,31,48,64%,35,52,1,2,50%,1,0,90,23,40,4,4,4,4,20,34,2,2,9,12,W
Muslim Salikhov,1,25,48,52%,26,49,0,2,0%,0,0,20,10,32,8,8,7,8,22,44,0,1,3,3,W
Ricky Rainey,0,19,44,43%,21,46,0,1,0%,0,0,5,6,26,6,7,7,11,15,34,4,10,0,0,L
Wilson Reis,0,12,61,19%,61,127,8,16,50%,0,0,463,6,52,1,4,5,5,12,61,0,0,0,0,L
John Moraga,0,46,91,50%,69,116,0,0,---,1,2,42,30,73,12,14,4,4,34,76,6,7,6,8,W
Krzysztof Jotko,0,24,74,32%,40,90,0,3,0%,0,0,45,18,62,3,6,3,6,13,55,11,19,0,0,L
Brad Tavares,1,46,96,47%,62,115,0,1,0%,0,0,152,23,64,6,15,17,17,33,76,7,10,6,10,W
Gilbert Burns,1,31,65,47%,39,74,2,2,100%,0,0,84,22,55,8,9,1,1,28,57,1,2,2,6,W
Dan Moret,0,20,58,34%,20,58,0,0,---,0,0,0,10,43,4,9,6,6,19,57,1,1,0,0,L
Shana Dobson,0,68,206,33%,74,213,1,4,25%,0,0,44,34,158,23,36,11,12,62,198,6,8,0,0,L
Lauren Mueller,0,58,156,37%,70,171,2,2,100%,0,0,168,31,119,20,29,7,8,54,147,4,7,0,2,W
Dhiego Lima,0,11,24,45%,17,31,0,0,---,0,0,5,6,16,3,6,2,2,6,19,3,3,2,2,L
Yushin Okami,0,15,19,78%,57,66,6,13,46%,0,0,750,14,18,0,0,1,1,2,3,0,0,13,16,W
Arjan Bhullar,0,9,18,50%,42,60,2,3,66%,0,0,318,9,18,0,0,0,0,5,11,1,1,3,6,L
Adam Wieczorek,0,13,27,48%,14,28,0,0,---,1,0,0,2,14,4,6,7,7,10,22,1,1,2,4,W
Matthew Lopez,0,22,36,61%,32,47,3,7,42%,2,0,186,14,28,7,7,1,1,19,33,1,1,2,2,L
Alejandro Perez,0,44,100,44%,81,142,0,1,0%,0,0,28,27,79,8,8,9,13,39,92,5,8,0,0,W
Luke Sanders,1,59,140,42%,62,143,0,0,---,0,0,79,44,121,13,16,2,3,44,119,13,19,2,2,W
Patrick Williams,0,61,109,55%,68,117,1,5,20%,0,0,55,15,56,15,20,31,33,53,94,8,15,0,0,L
Khabib Nurmagomedov,0,134,304,44%,172,352,6,15,40%,1,0,633,122,287,7,12,5,5,100,255,0,0,34,49,W
Al Iaquinta,0,41,141,29%,43,143,0,1,0%,0,0,0,27,117,11,20,3,4,41,141,0,0,0,0,L
Rose Namajunas,0,105,301,34%,108,304,1,2,50%,0,0,56,85,270,15,24,5,7,105,301,0,0,0,0,W
Joanna Jedrzejczyk,0,145,356,40%,160,372,0,0,---,0,0,0,64,257,27,37,54,62,135,342,10,14,0,0,L
Renato Moicano,0,116,206,56%,117,207,0,0,---,0,0,0,60,133,18,27,38,46,115,205,1,1,0,0,W
Calvin Kattar,0,41,140,29%,41,140,0,2,0%,0,0,1,35,131,5,8,1,1,41,140,0,0,0,0,L
Zabit Magomedsharipov,0,97,217,44%,114,237,5,11,45%,0,0,228,75,188,11,14,11,15,89,207,1,2,7,8,W
Kyle Bochniak,0,43,163,26%,44,164,0,2,0%,0,0,40,34,149,9,13,0,1,42,162,1,1,0,0,L
Joe Lauzon,0,48,137,35%,49,138,0,2,0%,0,0,0,40,125,7,10,1,2,35,113,11,22,2,2,L
Chris Gruetzemacher,0,128,196,65%,135,203,0,0,---,0,0,98,72,135,45,50,11,11,68,118,51,65,9,13,W
Karolina Kowalkiewicz,0,126,248,50%,140,262,0,3,0%,0,1,71,82,191,31,42,13,15,80,192,43,53,3,3,W
Felice Herrig,0,86,216,39%,97,228,0,5,0%,0,0,105,62,181,19,25,5,10,62,178,24,38,0,0,L
Evan Dunham,0,4,14,28%,4,14,0,0,---,0,0,0,4,14,0,0,0,0,3,13,1,1,0,0,L
Olivier Aubin-Mercier,1,13,18,72%,13,18,0,0,---,0,0,7,9,14,4,4,0,0,3,5,8,9,2,4,W
Bec Rawlings,0,88,195,45%,89,196,0,0,---,0,0,9,46,147,14,18,28,30,82,188,6,7,0,0,L
Ashlee Evans-Smith,0,116,331,35%,121,337,1,4,25%,0,0,7,81,276,20,36,15,19,101,305,14,25,1,1,W
Devin Clark,0,50,64,78%,167,200,7,11,63%,0,0,685,30,38,12,16,8,10,17,24,19,24,14,16,W
Mike Rodriguez,0,40,66,60%,66,95,0,0,---,0,0,38,17,39,21,23,2,4,11,35,27,29,2,2,L
Fabricio Werdum,0,48,88,54%,83,130,3,9,33%,0,2,399,30,66,12,14,6,8,22,41,1,2,25,45,L
Alexander Volkov,1,48,90,53%,96,144,2,2,100%,0,0,106,37,75,8,11,3,4,32,71,3,5,13,14,W
Jimi Manuwa,0,37,110,33%,37,110,0,2,0%,0,0,2,16,79,17,23,4,8,32,104,5,6,0,0,L
Jan Blachowicz,1,97,191,50%,124,219,1,6,16%,0,0,172,81,171,11,15,5,5,88,178,8,12,1,1,W
Tom Duquesnoy,0,67,153,43%,70,156,0,3,0%,0,0,5,28,104,8,18,31,31,66,150,1,3,0,0,W
Terrion Ware,0,85,267,31%,108,295,2,6,33%,0,0,88,60,234,15,21,10,12,71,248,6,10,8,9,L
Leon Edwards,1,42,86,48%,71,117,1,2,50%,0,1,501,37,78,5,6,0,2,16,50,1,1,25,35,W
Peter Sobotta,0,16,43,37%,57,90,1,4,25%,0,0,64,8,34,3,4,5,5,15,42,1,1,0,0,L
John Phillips,0,0,1,0%,1,2,0,0,---,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,L
Charles Byrd,0,11,14,78%,34,41,1,1,100%,1,0,233,11,14,0,0,0,0,0,1,0,0,11,13,W
Danny Roberts,1,4,10,40%,4,10,0,0,---,0,0,2,2,8,1,1,1,1,3,8,0,1,1,1,W
Oliver Enkamp,0,7,12,58%,8,14,0,1,0%,0,0,24,1,4,1,1,5,7,5,10,2,2,0,0,L
Danny Henry,1,2,5,40%,2,5,0,0,---,1,0,13,2,4,0,1,0,0,2,4,0,0,0,1,W
Hakeem Dawodu,0,3,3,100%,3,3,0,0,---,0,0,0,1,1,0,0,2,2,3,3,0,0,0,0,L
Paul Craig,0,18,50,36%,34,70,2,7,28%,1,0,107,2,30,10,14,6,6,12,41,6,7,0,2,W
Magomed Ankalaev,0,59,96,61%,89,129,0,0,---,0,2,402,36,70,19,21,4,5,20,44,8,11,31,41,L
Stevie Ray,0,24,62,38%,37,78,3,4,75%,1,0,100,18,52,1,3,5,7,16,51,1,2,7,9,L
Kajan Johnson,0,33,54,61%,37,58,2,4,50%,0,0,254,7,22,13,16,13,16,24,42,0,1,9,11,W
Mark Godbeer,0,24,37,64%,73,91,0,1,0%,0,1,209,11,24,12,12,1,1,7,17,3,4,14,16,L
Dmitry Sosnovskiy,0,28,40,70%,53,71,2,3,66%,2,1,255,22,32,5,7,1,1,10,18,5,8,13,14,W
Cristiane Justino,0,33,43,76%,42,54,1,1,100%,0,0,21,22,31,11,12,0,0,10,13,8,8,15,22,W
Yana Santos,0,5,11,45%,17,24,1,4,25%,0,0,141,2,4,1,5,2,2,3,9,1,1,1,1,L
Frankie Edgar,0,27,77,35%,27,77,0,1,0%,0,0,0,12,59,10,13,5,5,27,76,0,1,0,0,L
Brian Ortega,1,25,76,32%,25,77,0,0,---,0,0,2,21,71,3,4,1,1,17,66,6,8,2,2,W
Sean O'Malley,0,63,111,56%,73,121,0,0,---,3,1,55,41,83,15,21,7,7,53,100,1,2,9,9,W
Andre Soukhamthath,0,25,60,41%,42,79,4,7,57%,0,0,361,7,37,9,12,9,11,16,50,1,1,8,9,L
Stefan Struve,0,34,74,45%,37,78,0,3,0%,0,1,77,9,40,8,16,17,18,32,69,0,0,2,5,L
Andrei Arlovski,0,46,88,52%,76,121,4,9,44%,0,1,271,12,42,16,26,18,20,42,82,2,3,2,3,W
Cat Zingano,0,59,106,55%,77,128,0,2,0%,0,0,14,33,70,17,25,9,11,31,69,19,24,9,13,L
Ketlen Vieira,0,41,71,57%,96,139,2,2,100%,1,0,609,32,60,6,8,3,3,17,43,9,13,15,15,W
Ashley Yoder,1,52,142,36%,73,165,0,0,---,0,0,42,27,109,17,23,8,10,37,125,15,17,0,0,L
Mackenzie Dern,0,70,143,48%,76,149,1,6,16%,1,0,350,39,111,14,15,17,17,43,113,19,21,8,9,W
Beneil Dariush,0,4,11,36%,4,11,0,0,---,0,0,0,2,7,1,3,1,1,4,11,0,0,0,0,L
Alexander Hernandez,1,8,13,61%,9,14,0,0,---,0,0,1,5,10,3,3,0,0,6,11,0,0,2,2,W
John Dodson,0,76,184,41%,76,184,0,0,---,0,0,0,47,151,22,26,7,7,76,181,0,3,0,0,W
Pedro Munhoz,0,69,172,40%,73,176,1,1,100%,0,0,62,39,118,21,39,9,15,63,165,4,5,2,2,L
CB Dollaway,0,13,19,68%,13,19,0,0,---,0,0,0,4,7,8,11,1,1,12,18,1,1,0,0,W
Hector Lombard,1,19,33,57%,19,33,0,0,---,0,0,0,8,18,2,4,9,11,18,32,1,1,0,0,L
Mike Pyle,0,4,20,20%,4,20,0,0,---,0,0,0,1,15,3,5,0,0,4,20,0,0,0,0,L
Zak Ottow,1,22,50,44%,26,56,0,0,---,0,0,20,18,40,2,8,2,2,9,29,0,0,13,21,W
Bryan Caraway,0,59,168,35%,116,236,1,23,4%,0,0,299,50,156,4,7,5,5,50,147,8,20,1,1,L
Cody Stamann,0,95,166,57%,115,186,0,1,0%,0,0,0,67,132,21,26,7,8,65,128,30,38,0,0,W
Jordan Johnson,0,59,106,55%,176,239,2,11,18%,0,0,433,44,88,7,9,8,9,57,101,2,5,0,0,W
Adam Milstead,0,58,133,43%,70,145,0,0,---,0,0,0,47,121,6,7,5,5,44,113,13,19,1,1,L
Josh Emmett,1,18,40,45%,21,43,0,0,---,0,0,21,9,30,5,6,4,4,13,32,0,0,5,8,L
Jeremy Stephens,1,24,57,42%,24,57,0,0,---,0,0,9,18,46,4,8,2,3,19,49,0,0,5,8,W
Jessica Andrade,0,92,178,51%,151,237,10,12,83%,0,1,435,46,124,43,50,3,4,37,113,17,26,38,39,W
Tecia Pennington,0,69,150,46%,88,171,2,2,100%,0,0,23,54,132,6,9,9,9,61,133,5,13,3,4,L
Ovince Saint Preux,0,7,24,29%,7,24,0,0,---,0,0,0,2,18,2,3,3,3,7,24,0,0,0,0,L
Ilir Latifi,1,25,41,60%,27,43,0,0,---,1,0,20,11,25,5,6,9,10,19,34,1,1,5,6,W
Mike Perry,0,45,110,40%,45,110,1,4,25%,0,0,78,23,77,8,18,14,15,44,108,1,2,0,0,L
Max Griffin,1,78,168,46%,81,171,0,1,0%,0,0,24,58,138,7,15,13,15,74,163,1,1,3,4,W
Renan Barao,0,116,228,50%,134,247,0,2,0%,0,0,133,78,167,27,43,11,18,95,204,21,24,0,0,L
Brian Kelleher,0,94,203,46%,145,256,1,4,25%,0,0,266,74,175,13,21,7,7,86,195,8,8,0,0,W
Sara McMann,0,9,49,18%,76,120,2,5,40%,0,0,311,5,42,2,5,2,2,6,45,3,4,0,0,L
Marion Reneau,0,23,39,58%,37,55,0,0,---,1,0,7,23,38,0,1,0,0,11,24,1,2,11,13,W
Maryna Moroz,0,84,321,26%,100,339,0,2,0%,0,0,31,39,241,32,62,13,18,78,304,6,16,0,1,L
Angela Hill,0,114,209,54%,121,216,1,2,50%,0,0,121,63,144,26,37,25,28,89,182,22,24,3,3,W
Ben Saunders,0,33,79,41%,34,80,0,0,---,0,0,3,21,60,8,14,4,5,25,65,8,13,0,1,L
Alan Jouban,2,78,141,55%,78,141,0,0,---,0,0,18,53,109,10,13,15,19,60,110,16,28,2,3,W
Sam Alvey,2,10,19,52%,14,23,1,1,100%,0,0,101,3,12,1,1,6,6,9,17,1,1,0,1,W
Marcin Prachnio,0,15,24,62%,36,45,0,0,---,0,0,14,3,10,4,6,8,8,12,20,3,4,0,0,L
Rani Yahya,0,17,20,85%,105,149,2,3,66%,2,1,599,1,4,14,14,2,2,2,5,0,0,15,15,W
Russell Doane,0,2,8,25%,15,30,1,1,100%,0,0,22,0,5,2,3,0,0,2,8,0,0,0,0,L
Eric Shelton,0,41,109,37%,72,140,0,2,0%,0,0,2,30,98,9,9,2,2,31,98,1,2,9,9,L
Alex Perez,0,29,82,35%,67,123,5,9,55%,0,0,418,15,64,3,6,11,12,24,73,1,4,4,5,W
Albert Morales,0,19,54,35%,30,66,1,1,100%,0,1,220,16,50,1,2,2,2,12,43,0,0,7,11,L
Manny Bermudez,0,12,28,42%,27,43,1,5,20%,3,2,116,12,28,0,0,0,0,6,19,0,0,6,9,W
Donald Cerrone,3,28,57,49%,28,57,0,1,0%,0,0,21,16,45,11,11,1,1,24,52,1,1,3,4,W
Yancy Medeiros,0,25,79,31%,26,80,0,0,---,0,0,17,17,70,8,9,0,0,22,76,3,3,0,0,L
Derrick Lewis,2,30,45,66%,32,47,1,2,50%,0,0,136,27,42,2,2,1,1,7,13,3,4,20,28,W
Marcin Tybura,0,37,56,66%,83,104,1,2,50%,1,1,433,19,32,8,11,10,13,9,20,5,5,23,31,L
James Vick,1,68,158,43%,72,162,1,2,50%,0,0,27,24,100,38,50,6,8,60,147,4,6,4,5,W
Francisco Trinaldo,0,26,90,28%,27,91,3,3,100%,1,0,96,10,67,16,20,0,3,23,86,3,4,0,0,L
Thiago Alves,0,33,106,31%,37,110,1,1,100%,0,0,14,3,63,3,3,27,40,33,106,0,0,0,0,L
Curtis Millender,2,47,106,44%,47,106,0,0,---,0,0,15,31,85,7,10,9,11,44,100,0,0,3,6,W
Steven Peterson,0,73,286,25%,82,296,1,10,10%,0,0,108,55,257,12,18,6,11,65,271,6,12,2,3,L
Brandon Davis,0,114,285,40%,119,291,0,1,0%,0,0,39,83,243,12,19,19,23,108,278,6,6,0,1,W
Sage Northcutt,0,63,138,45%,125,204,1,9,11%,0,0,113,32,102,16,20,15,16,41,114,9,10,13,14,W
Thibault Gouti,0,28,66,42%,30,68,4,5,80%,1,0,371,21,49,2,6,5,11,25,63,0,0,3,3,L
Jared Gordon,0,8,17,47%,8,17,0,1,0%,0,0,0,8,17,0,0,0,0,8,17,0,0,0,0,L
Diego Ferreira,1,29,60,48%,29,60,0,0,---,0,0,18,24,54,3,4,2,2,13,44,0,0,16,16,W
Geoff Neal,0,14,31,45%,15,32,0,0,---,1,0,67,11,28,1,1,2,2,14,31,0,0,0,0,W
Brian Camozzi,0,7,29,24%,9,32,0,0,---,0,0,0,3,22,2,5,2,2,7,28,0,1,0,0,L
Robert Sanchez,0,2,3,66%,2,3,3,3,100%,1,0,90,1,2,0,0,1,1,2,3,0,0,0,0,W
Joby Sanchez,0,1,5,20%,5,9,0,0,---,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,L
Sarah Moras,0,43,121,35%,80,165,2,5,40%,2,0,287,33,108,8,10,2,3,12,67,3,5,28,49,L
Lucie Pudilova,2,75,134,55%,107,171,0,0,---,0,1,292,70,128,3,3,2,3,48,93,5,6,22,35,W
Joshua Burkman,0,4,13,30%,4,13,0,0,---,0,0,6,0,5,0,3,4,5,4,13,0,0,0,0,L
Alex Morono,1,7,19,36%,7,19,0,0,---,1,0,1,2,12,0,0,5,7,7,19,0,0,0,0,W
Oskar Piechota,1,17,22,77%,17,22,0,0,---,0,0,4,13,18,2,2,2,2,10,14,0,0,7,8,W
Tim Williams,0,8,18,44%,8,18,0,0,---,0,0,0,4,12,0,0,4,6,8,18,0,0,0,0,L
Yoel Romero,1,45,92,48%,52,99,0,0,---,0,0,8,23,60,10,17,12,15,31,73,13,18,1,1,W
Luke Rockhold,0,45,119,37%,45,119,0,0,---,0,0,0,22,87,10,15,13,17,44,118,1,1,0,0,L
Mark Hunt,1,14,32,43%,35,53,0,0,---,0,0,7,13,31,0,0,1,1,11,29,2,2,1,1,L
Curtis Blaydes,0,56,105,53%,126,184,10,14,71%,0,0,575,46,95,6,6,4,4,11,54,1,1,44,50,W
Tai Tuivasa,0,38,51,74%,39,52,0,0,---,0,0,25,30,43,8,8,0,0,26,37,12,14,0,0,W
Cyril Asker,0,3,11,27%,3,11,0,0,---,0,0,0,2,10,1,1,0,0,1,8,2,3,0,0,L
Jake Matthews,2,63,127,49%,89,156,2,4,50%,1,0,206,61,121,0,2,2,4,38,87,1,4,24,36,W
Li Jingliang,0,49,152,32%,56,163,0,1,0%,0,1,71,35,134,4,4,10,14,40,132,4,6,5,14,L
Tyson Pedro,0,12,23,52%,17,28,0,1,0%,1,0,1,6,17,2,2,4,4,10,18,2,5,0,0,W
Saparbeg Safarov,0,8,22,36%,10,24,2,5,40%,0,0,79,6,20,1,1,1,1,4,14,3,6,1,2,L
Damien Brown,0,46,123,37%,46,123,0,0,---,0,0,0,16,81,12,19,18,23,46,123,0,0,0,0,L
Dong Hyun Ma,0,67,153,43%,68,154,0,0,---,0,0,0,43,114,7,19,17,20,67,153,0,0,0,0,W
Rob Wilkinson,0,22,46,47%,33,59,3,15,20%,0,0,246,6,22,5,10,11,14,7,26,15,20,0,0,L
Israel Adesanya,1,52,75,69%,70,94,0,0,---,0,0,0,35,56,13,13,4,6,28,45,24,30,0,0,W
Alexander Volkanovski,0,73,120,60%,105,158,2,3,66%,0,0,475,57,103,10,10,6,7,4,9,5,8,64,103,W
Jeremy Kennedy,0,8,25,32%,11,29,0,3,0%,0,0,28,7,24,1,1,0,0,1,18,0,0,7,7,L
Jussier Formiga,1,27,49,55%,50,72,2,4,50%,1,0,243,24,44,2,4,1,1,12,29,1,5,14,15,W
Ben Nguyen,0,21,65,32%,37,82,0,0,---,0,0,55,8,46,10,15,3,4,7,49,13,15,1,1,L
Ross Pearson,0,58,176,32%,59,177,0,0,---,0,0,0,31,134,16,30,11,12,57,174,1,2,0,0,W
Mizuto Hirota,0,77,213,36%,77,213,0,1,0%,0,0,6,49,176,3,10,25,27,73,208,4,5,0,0,L
Teruto Ishihara,1,33,109,30%,35,111,1,4,25%,0,0,25,8,77,6,12,19,20,29,102,4,7,0,0,L
Jose Quinonez,0,49,98,50%,54,103,2,7,28%,0,0,201,16,59,6,8,27,31,42,89,7,9,0,0,W
Luke Jumeau,0,63,130,48%,64,131,1,1,100%,0,0,13,35,93,11,20,17,17,58,118,2,7,3,5,W
Daichi Abe,0,63,171,36%,65,176,0,1,0%,0,0,17,43,144,7,14,13,13,47,145,8,14,8,12,L
Lyoto Machida,0,62,112,55%,66,116,0,0,---,0,0,137,18,57,23,31,21,24,49,94,6,7,7,11,W
Eryk Anders,0,32,77,41%,46,94,3,11,27%,0,0,227,18,63,13,13,1,1,19,60,12,15,1,2,L
Valentina Shevchenko,0,95,113,84%,230,254,2,2,100%,2,0,512,87,103,8,9,0,1,11,20,0,0,84,93,W
Priscila Cachoeira,0,2,12,16%,3,13,0,0,---,0,0,0,2,12,0,0,0,0,2,12,0,0,0,0,L
Michel Prazeres,0,36,72,50%,70,106,3,8,37%,3,0,235,22,52,8,14,6,6,17,51,6,7,13,14,W
Desmond Green,0,33,61,54%,50,79,3,6,50%,0,0,165,9,36,15,15,9,10,20,45,13,16,0,0,L
Timothy Johnson,0,77,146,52%,139,217,0,6,0%,0,0,348,42,102,25,32,10,12,23,80,54,66,0,0,W
Marcelo Golm,0,59,87,67%,89,119,0,0,---,0,0,64,40,67,13,14,6,6,27,51,32,36,0,0,L
Douglas Silva de Andrade,0,97,232,41%,99,234,1,3,33%,0,0,35,55,180,23,31,19,21,92,224,4,6,1,2,W
Marlon Vera,0,72,191,37%,75,195,0,0,---,0,0,1,28,138,22,29,22,24,71,187,1,3,0,1,L
Thiago Santos,2,58,82,70%,80,106,0,1,0%,0,1,199,33,56,20,21,5,5,13,24,3,4,42,54,W
Anthony Smith,0,10,22,45%,13,26,1,3,33%,0,0,50,10,22,0,0,0,0,8,20,1,1,1,1,L
Sergio Moraes,0,87,192,45%,89,195,0,1,0%,0,0,0,70,168,15,22,2,2,87,192,0,0,0,0,W
Tim Means,1,129,274,47%,136,282,0,0,---,0,0,82,91,229,22,28,16,17,124,268,1,1,4,5,L
